abbrev,conference,seed,p_r1_win,p_r2_win,p_cf_win,p_champion
DET,EAST,1,0.9546666666666667,0.75525,0.4349166666666667,0.19625
BOS,EAST,2,0.9420833333333334,0.5925833333333334,0.30633333333333335,0.12966666666666668
NYK,EAST,3,0.7295,0.3415,0.16616666666666666,0.06541666666666666
CLE,EAST,4,0.48533333333333334,0.10425,0.02675,0.006
TOR,EAST,5,0.5146666666666667,0.12308333333333334,0.036333333333333336,0.008416666666666666
ATL,EAST,6,0.2705,0.07166666666666667,0.027083333333333334,0.00625
PHI,EAST,7,0.057916666666666665,0.006333333333333333,0.0015,8.333333333333333e-5
CHA,EAST,8,0,0,0,0
ORL,EAST,8,0.04533333333333334,0.005333333333333333,9.166666666666666e-4,1.6666666666666666e-4
OKC,WEST,1,0.9603333333333334,0.8625,0.5648333333333333,0.36075
SAS,WEST,2,0.96925,0.7823333333333333,0.3526666666666667,0.20166666666666666
DEN,WEST,3,0.71575,0.17166666666666666,0.04041666666666666,0.0135
LAL,WEST,4,0.14575,0.004833333333333334,8.333333333333333e-5,0
HOU,WEST,5,0.85425,0.141,0.03283333333333333,0.009833333333333333
MIN,WEST,6,0.28425,0.03183333333333333,0.006416666666666667,0.0013333333333333333
POR,WEST,7,0.03075,0.00125,3.333333333333333e-4,0
GSW,WEST,8,0,0,0,0
PHX,WEST,8,0.03966666666666667,0.004583333333333333,0.002416666666666667,6.666666666666666e-4
